条款编号,类别,条款名称,级别,奖项/名次,分值,匹配关键词,备注
创新-11,创新创业,A类学科竞赛·校级优秀奖,校级,优秀奖;优胜奖,0.4,挑战杯;创青春;互联网+;创新大赛;学科竞赛;数学建模,手册P025·原文四档1/0.8/0.6/0.4
创新-12,创新创业,A类学科竞赛·院级一等奖,院级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,0.4,挑战杯;创青春;互联网+;创新大赛;学科竞赛,手册P025
创新-13,创新创业,A类学科竞赛·院级二等奖,院级,二等奖;二等;银奖;亚军;第二名;第2名,0.2,挑战杯;创青春;互联网+;创新大赛;学科竞赛,手册P025
创新-14,创新创业,A类学科竞赛·院级三等奖,院级,三等奖;三等;铜奖;季军;第三名;第3名,0.1,挑战杯;创青春;互联网+;创新大赛;学科竞赛,手册P025
创新-15,创新创业,创新创业训练项目·主持国家级,国家级,,4,创新创业训练;大创;科创基金;立项,手册P025·项目成员按主持人25%计（1分）
创新-16,创新创业,创新创业训练项目·主持省市级,省市级,,2,创新创业训练;大创;科创基金;立项,手册P025·项目成员按0.5计
创新-17,创新创业,创新创业训练项目·主持校级,校级,,1,创新创业训练;大创;科创基金;立项,手册P025·项目成员按0.25计
创新-18,创新创业,授权国家发明专利,,,2,发明专利;专利,手册P025·2分/项；第一专利权人须为重庆工商大学
创新-19,创新创业,正式出版专著,,,2,专著;出版;译著,手册P025
创新-20,创新创业,正式出版编著,,,1.5,编著,手册P025
创新-21,创新创业,正式出版教材,,,1,教材,手册P025
创新-22,创新创业,公开发表学术论文,,,2,论文;期刊;发表,手册P025·按期刊等级定分：A0-A3=4/B1=3.5/B2=3/C1=2.5/C2=2/D=1/E=0.2；校报等公开刊物0.1-0.2——必须人工定级
创新-23,创新创业,科研项目·承担国家级,国家级,,4,科研项目;课题,手册P025
创新-24,创新创业,科研项目·承担省市级,省市级,,3,科研项目;课题,手册P025
创新-25,创新创业,科研项目·承担校级,校级,,2,科研项目;课题,手册P025
创新-26,创新创业,科研项目·承担院级,院级,,1,科研项目;课题,手册P025
创新-27,创新创业,成果奖/咨政成果/成果转化,,,3,成果奖;批示;转化;采纳,手册P025·国4/省3/校2；咨政同标准；成果转化1-4分——必须人工定级
荣誉-01,荣誉,国家级荣誉称号,国家级,,2,荣誉称号;五四奖章;道德模范;自强之星;先锋,手册P025
荣誉-02,荣誉,国家部委/省市政府荣誉,省市级,,1.5,省;部委;市政府;荣誉,手册P025·区间1-1.5，按含金量定
荣誉-03,荣誉,部委司局/省市部门荣誉,省市级,,1.2,厅;局;部门;荣誉,手册P025·区间0.8-1.3
荣誉-04,荣誉,学校综合荣誉,校级,,0.5,优秀党员;校长荣誉奖;感动校园;共青团标兵;科研标兵;三好学生;优秀共产党员;三好学生标兵;优秀毕业生,手册P025+PPTX幻灯9
荣誉-05,荣誉,学校单项荣誉,校级,,0.4,优秀团员;优秀团干部;优秀学生干部;先进个人;优秀志愿者;优秀共青团员;优秀共青团干部;优秀青年志愿者,手册P025+PPTX幻灯9
荣誉-06,荣誉,学院综合荣誉,院级,,0.3,学院;通识 ×优秀,PPTX幻灯9·学院口径
荣誉-07,荣誉,学院单项荣誉,院级,,0.2,学院;单项 ×荣誉,PPTX幻灯9·学院口径
荣誉-08,荣誉,文明寝室·国家级,国家级,,1,文明寝室,手册P025·1分/人
荣誉-09,荣誉,文明寝室·省市级,省市级,,0.5,文明寝室,手册P025·0.5分/人
荣誉-10,荣誉,文明寝室·校级,校级,,0.2,文明寝室,手册P025·0.2分/人；名单文件已注明
荣誉-11,荣誉,公益/见义勇为等通报表扬,,,1,见义勇为;抢险;救灾;乡村振兴;通报表扬,手册P025：全国2/省部1.5/市县1/街道0.5/学校0.3；PPTX实操：校外1/学校0.5/学院0.3——口径冲突，人工定
荣誉-12,荣誉,个人事迹媒体报道,,,1.5,媒体报道,手册P025·国家级2/省级1.5/市区1/学校0.5；同一事迹取最高
任职-01,任职,校级学生组织负责人,,,1.8,主席团;学生会主席;团委副书记;执行主席;学生组织负责人;负责人聘书,手册P025·区间1.5-2；以主管部门报送为准；按职务名匹配，避免误匹配颁发单位
任职-02,任职,校级部门负责人/院主席团/班长/团支书,,,1.2,主席团;部长;班长;团支书;站长;楼长,手册P025·区间1-1.5
任职-03,任职,社团负责人/院部门负责人/班团委员,,,0.8,社团负责人;部长;组织委员;宣传委员;文艺委员;体育委员;班团委员;层长,手册P025·区间0.5-1；委员字样易误匹配委员会，已改为具体职务
任职-04,任职,学习委员/生活委员,,,0.85,学习委员;生活委员,PPTX幻灯10·区间0.7-1
任职-05,任职,心理委员,,,0.6,心理委员,PPTX幻灯10·区间0.5-0.7
任职-06,任职,工作人员/寝室长/室长/课程组长,,,0.3,工作人员;寝室长;室长;组长,手册P026·区间0.1-0.5；多职务取最高不累计
活动-01,活动,活动类竞赛·国家级一等奖,国家级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,2,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026·德育/体育/美育/劳育类竞赛活动
活动-02,活动,活动类竞赛·国家级二等奖,国家级,二等奖;二等;银奖;亚军;第二名;第2名,1.7,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-03,活动,活动类竞赛·国家级三等奖,国家级,三等奖;三等;铜奖;季军;第三名;第3名,1.4,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-04,活动,活动类竞赛·省市级一等奖,省市级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,1.4,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-05,活动,活动类竞赛·省市级二等奖,省市级,二等奖;二等;银奖;亚军;第二名;第2名,1.1,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-06,活动,活动类竞赛·省市级三等奖,省市级,三等奖;三等;铜奖;季军;第三名;第3名,0.8,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-07,活动,活动类竞赛·校级一等奖,校级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,0.8,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-08,活动,活动类竞赛·校级二等奖,校级,二等奖;二等;银奖;亚军;第二名;第2名,0.6,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-09,活动,活动类竞赛·校级三等奖,校级,三等奖;三等;铜奖;季军;第三名;第3名,0.4,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-10,活动,活动类竞赛·院级一等奖,院级,一等奖;一等;金奖;冠军;第一名;第1名;金牌,0.4,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-11,活动,活动类竞赛·院级二等奖,院级,二等奖;二等;银奖;亚军;第二名;第2名,0.2,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026
活动-12,活动,活动类竞赛·院级三等奖,院级,三等奖;三等;铜奖;季军;第三名;第3名,0.1,运动会;篮球;足球;排球;羽毛球;乒乓球;网球;田径;拔河;跳绳;歌手;舞蹈;合唱;文艺;晚会;演讲;征文;朗诵;书法;摄影;绘画,手册P026·公益类竞赛（网络安全/防艾知识大赛等）不参与活动类加分（PPTX幻灯11）
证书-01,证书,大学英语四级,,,0.5,CET4;CET-4;英语四级;大学英语四级,PPTX幻灯12·学院口径；与六级同类取最高
证书-02,证书,大学英语六级,,,0.8,CET6;CET-6;英语六级;大学英语六级,PPTX幻灯12·取四六级最高一项
证书-03,证书,计算机二级,,,0.5,计算机二级;计算机等级考试;NCRE,PPTX幻灯12
证书-04,证书,其他资格证书,,,0.5,资格证书;从业资格;职业资格;技能证书,PPTX幻灯12·证书类可累积，总分≤1.8
青春-01,青春工商大,参与1次,,,0.1,青春工商大;第二课堂,PPTX幻灯12·只看有名字有盖章的截图
青春-02,青春工商大,参与2次,,,0.2,青春工商大;第二课堂,PPTX幻灯12
青春-03,青春工商大,参与3次及以上,,,0.3,青春工商大;第二课堂,PPTX幻灯12·已加过分的截图不重复计；排除体育/美育类活动
